(('구의역', '2016-11-12'), [438.0, 1034.0, 1313.0, 2632.0, 2495.0, 2005.0, 2317.0, 3164.0, 2660.0, 2793.0, 2763.0, 3148.0, 3329.0, 3045.0, 2375.0, 2040.0, 2256.0, 2113.0, 1469.0])
(('이대역', '2016-11-15'), [185.0, 572.0, 1921.0, 3573.0, 4570.0, 3219.0, 2389.0, 3106.0, 3073.0, 2407.0, 2778.0, 3234.0, 4035.0, 4478.0, 3075.0, 2272.0, 2540.0, 2037.0, 957.0])
(('한양대역', '2016-11-26'), [80.0, 232.0, 326.0, 1185.0, 1181.0, 1149.0, 1183.0, 1532.0, 1779.0, 1475.0, 1664.0, 1645.0, 1672.0, 1166.0, 785.0, 537.0, 666.0, 626.0, 440.0])
(('아현역', '2016-11-11'), [213.0, 669.0, 1764.0, 2628.0, 1501.0, 989.0, 934.0, 988.0, 900.0, 970.0, 1131.0, 1742.0, 1757.0, 2031.0, 1564.0, 1003.0, 844.0, 785.0, 642.0])
(('한양대역', '2016-11-18'), [91.0, 359.0, 1074.0, 3651.0, 2844.0, 2715.0, 1360.0, 1995.0, 2082.0, 1876.0, 2002.0, 2172.0, 2974.0, 2713.0, 1463.0, 943.0, 987.0, 811.0, 552.0])
(('신답역', '2016-11-02'), [41.0, 95.0, 291.0, 468.0, 169.0, 113.0, 96.0, 119.0, 143.0, 129.0, 145.0, 198.0, 169.0, 400.0, 292.0, 167.0, 131.0, 134.0, 76.0])
(('선릉역', '2016-11-28'), [420.0, 2205.0, 6200.0, 15922.0, 11359.0, 5549.0, 4765.0, 4341.0, 5236.0, 5455.0, 6081.0, 7317.0, 8745.0, 16260.0, 9718.0, 5646.0, 5385.0, 4637.0, 1728.0])
(('문래역', '2016-11-04'), [227.0, 957.0, 3465.0, 7204.0, 3070.0, 1645.0, 1478.0, 1644.0, 1734.0, 1733.0, 1770.0, 2256.0, 2820.0, 5704.0, 3817.0, 2094.0, 1736.0, 1602.0, 1059.0])
(('을지로입구역', '2016-11-23'), [242.0, 1228.0, 6460.0, 15630.0, 7777.0, 4442.0, 4539.0, 3912.0, 4934.0, 4540.0, 5124.0, 5202.0, 7042.0, 16041.0, 8645.0, 6788.0, 5787.0, 4114.0, 2030.0])
(('신천역', '2016-11-27'), [211.0, 459.0, 602.0, 1016.0, 1635.0, 1566.0, 1886.0, 2243.0, 2495.0, 2293.0, 2588.0, 2817.0, 2882.0, 2612.0, 2157.0, 1993.0, 2004.0, 1707.0, 951.0])
