지점번호,지점,날짜,시간,기온 (℃),일강수량 (mm),풍속 (m/s)
400,강남,2016-02-01,00,-4.5,0,2.2
400,강남,2016-02-01,01,-4.9,0,1.6
400,강남,2016-02-01,02,-5.4,0,2.2
400,강남,2016-02-01,03,-5.7,0,2.3
400,강남,2016-02-01,04,-5.9,0,1.6
400,강남,2016-02-01,05,-6.3,0,2.6
400,강남,2016-02-01,06,-6.6,0,2.2
400,강남,2016-02-01,07,-6.6,0,1.9
400,강남,2016-02-01,08,-6.9,0,2.1
400,강남,2016-02-01,09,-6.4,0,2.1
400,강남,2016-02-01,10,-5.6,0,2.4
400,강남,2016-02-01,11,-4.8,0,2.6
400,강남,2016-02-01,12,-4.4,0,2.8
400,강남,2016-02-01,13,-2.8,0,2.3
400,강남,2016-02-01,14,-1.5,0,1.7
400,강남,2016-02-01,15,-1.9,0,2.1
400,강남,2016-02-01,16,-1.5,0,2.5
400,강남,2016-02-01,17,-2.1,0,2.8
400,강남,2016-02-01,18,-2.6,0,2.5
400,강남,2016-02-01,19,-3,0,1.9
400,강남,2016-02-01,20,-3.2,0,1.7
400,강남,2016-02-01,21,-3.8,0,2.2
400,강남,2016-02-01,22,-4.3,0,2.2
400,강남,2016-02-01,23,-5,0,2.1
400,강남,2016-02-02,00,-5.7,0,2.2
400,강남,2016-02-02,01,-5.9,0,2.1
400,강남,2016-02-02,02,-6,0,1.6
400,강남,2016-02-02,03,-6,0,1.3
400,강남,2016-02-02,04,-6.4,0,1.1
400,강남,2016-02-02,05,-6.6,0,1.7
400,강남,2016-02-02,06,-6.8,0,1.6
400,강남,2016-02-02,07,-7.5,0,1.3
400,강남,2016-02-02,08,-7.6,0,1.3
400,강남,2016-02-02,09,-6.5,0,1.4
400,강남,2016-02-02,10,-4.4,0,1.5
400,강남,2016-02-02,11,-3.9,0,2.7
400,강남,2016-02-02,12,-2.8,0,2
400,강남,2016-02-02,13,-1.8,0,2
400,강남,2016-02-02,14,-0.9,0,2.6
400,강남,2016-02-02,15,-0.6,0,2.2
400,강남,2016-02-02,16,-0.3,0,2.7
400,강남,2016-02-02,17,-0.3,0,2.3
400,강남,2016-02-02,18,-0.7,0,2.3
400,강남,2016-02-02,19,-1.2,0,1.6
400,강남,2016-02-02,20,-1.4,0,1.9
400,강남,2016-02-02,21,-1.8,0,1.9
400,강남,2016-02-02,22,-2,0,1.9
400,강남,2016-02-02,23,-2.1,0,1
400,강남,2016-02-03,00,-2.2,0,1.9
400,강남,2016-02-03,01,-2.7,0,1
400,강남,2016-02-03,02,-4.2,0,0.9
400,강남,2016-02-03,03,-4.8,0,1.1
400,강남,2016-02-03,04,-5.1,0,1.1
400,강남,2016-02-03,05,-6,0,1.1
400,강남,2016-02-03,06,-6.6,0,1.4
400,강남,2016-02-03,07,-6.8,0,1.6
400,강남,2016-02-03,08,-7,0,1.3
400,강남,2016-02-03,09,-6.1,0,1.6
400,강남,2016-02-03,10,-4.8,0,1.6
400,강남,2016-02-03,11,-3.1,0,1.5
400,강남,2016-02-03,12,-0.8,0,1.2
400,강남,2016-02-03,13,2.2,0,1.2
400,강남,2016-02-03,14,2.4,0,1.6
400,강남,2016-02-03,15,3.1,0,1.9
400,강남,2016-02-03,16,3.5,0,2.9
400,강남,2016-02-03,17,2.8,0,2.8
400,강남,2016-02-03,18,2.1,0,1.8
400,강남,2016-02-03,19,1.6,0,2.3
400,강남,2016-02-03,20,1.2,0,1.9
400,강남,2016-02-03,21,1,0,1.5
400,강남,2016-02-03,22,0.8,0,1.5
400,강남,2016-02-03,23,0.5,0,1.4
400,강남,2016-02-04,00,0.6,0,1.2
400,강남,2016-02-04,01,0.3,0,0.8
400,강남,2016-02-04,02,0.1,0,0.9
400,강남,2016-02-04,03,0,0,1
400,강남,2016-02-04,04,-0.2,0,0.7
400,강남,2016-02-04,05,-0.9,0,0.2
400,강남,2016-02-04,06,-0.6,0,1.3
400,강남,2016-02-04,07,-0.6,0,1
400,강남,2016-02-04,08,-0.3,0,1
400,강남,2016-02-04,09,0.2,0,1.3
400,강남,2016-02-04,10,0.8,0,1
400,강남,2016-02-04,11,2.7,0,1.4
400,강남,2016-02-04,12,3,0,2.9
400,강남,2016-02-04,13,3.9,0,2.6
400,강남,2016-02-04,14,4,0,4
400,강남,2016-02-04,15,4.1,0,3.2
400,강남,2016-02-04,16,3.9,0,4.1
400,강남,2016-02-04,17,3.7,0,2.2
400,강남,2016-02-04,18,2.6,0,3
400,강남,2016-02-04,19,2,0,2.4
400,강남,2016-02-04,20,1.6,0,2.3
400,강남,2016-02-04,21,1.2,0,2.7
400,강남,2016-02-04,22,0.4,0,2.2
400,강남,2016-02-04,23,-0.4,0,2.2
400,강남,2016-02-05,00,-1.3,0,1.7
400,강남,2016-02-05,01,-1.8,0,1.3
400,강남,2016-02-05,02,-2.5,0,1.7
400,강남,2016-02-05,03,-2.9,0,2.2
400,강남,2016-02-05,04,-3,0,1.4
400,강남,2016-02-05,05,-3.1,0,1.7
400,강남,2016-02-05,06,-3.2,0,1.5
400,강남,2016-02-05,07,-3.3,0,0.6
400,강남,2016-02-05,08,-3.7,0,1
400,강남,2016-02-05,09,-3,0,1.1
400,강남,2016-02-05,10,-2.3,0,1.8
400,강남,2016-02-05,11,0,0,1.9
400,강남,2016-02-05,12,0.2,0,2.5
400,강남,2016-02-05,13,1.1,0,2.7
400,강남,2016-02-05,14,1.8,0,2.1
400,강남,2016-02-05,15,2.6,0,2.4
400,강남,2016-02-05,16,3.5,0,1.9
400,강남,2016-02-05,17,2.6,0,2.1
400,강남,2016-02-05,18,1.7,0,1.8
400,강남,2016-02-05,19,1.1,0,2.1
400,강남,2016-02-05,20,0.6,0,2.1
400,강남,2016-02-05,21,0.3,0,2
400,강남,2016-02-05,22,0.4,0,2.4
400,강남,2016-02-05,23,0.2,0,2.2
400,강남,2016-02-06,00,-0.2,0,1.4
400,강남,2016-02-06,01,-1,0,1.7
400,강남,2016-02-06,02,-2.2,0,2.5
400,강남,2016-02-06,03,-2.5,0,1.6
400,강남,2016-02-06,04,-2.8,0,1.1
400,강남,2016-02-06,05,-2.9,0,1.8
400,강남,2016-02-06,06,-3.1,0,2.3
400,강남,2016-02-06,07,-3.6,0,1.1
400,강남,2016-02-06,08,-3.9,0,1.4
400,강남,2016-02-06,09,-3.7,0,2.2
400,강남,2016-02-06,10,-2.8,0,2.4
400,강남,2016-02-06,11,-2.1,0,2.6
400,강남,2016-02-06,12,-0.8,0,2.6
400,강남,2016-02-06,13,0.3,0,3
400,강남,2016-02-06,14,0.5,0,2.9
400,강남,2016-02-06,15,0.9,0,2.9
400,강남,2016-02-06,16,1.2,0,3.1
400,강남,2016-02-06,17,0.8,0,2.7
400,강남,2016-02-06,18,0.2,0,2.3
400,강남,2016-02-06,19,-0.1,0,2.2
400,강남,2016-02-06,20,-0.3,0,2.3
400,강남,2016-02-06,21,-0.9,0,2.5
400,강남,2016-02-06,22,-1.5,0,1.8
400,강남,2016-02-06,23,-2,0,2
400,강남,2016-02-07,00,-2.6,0,2.4
400,강남,2016-02-07,01,-2.9,0,1.8
400,강남,2016-02-07,02,-3.1,0,1.2
400,강남,2016-02-07,03,-3.4,0,1.8
400,강남,2016-02-07,04,-3.7,0,1.3
400,강남,2016-02-07,05,-4.1,0,1.1
400,강남,2016-02-07,06,-5,0,0.8
400,강남,2016-02-07,07,-5.9,0,1
400,강남,2016-02-07,08,-6.4,0,1.6
400,강남,2016-02-07,09,-5.3,0,1
400,강남,2016-02-07,10,-3.3,0,1.8
400,강남,2016-02-07,11,-1.3,0,0.7
400,강남,2016-02-07,12,0.2,0,0.9
400,강남,2016-02-07,13,0.6,0,2
400,강남,2016-02-07,14,1.8,0,2.5
400,강남,2016-02-07,15,2,0,2.7
400,강남,2016-02-07,16,2.7,0,2
400,강남,2016-02-07,17,1.6,0,2.8
400,강남,2016-02-07,18,0.8,0,1.4
400,강남,2016-02-07,19,0.3,0,1.7
400,강남,2016-02-07,20,0.3,0,2
400,강남,2016-02-07,21,-0.1,0,1.3
