지점번호,지점,날짜,시간,기온 (℃),일강수량 (mm),풍속 (m/s)
400,강남,2016-01-01,00,0.7,0,0.9
400,강남,2016-01-01,01,0.4,0,0.3
400,강남,2016-01-01,02,-0.4,0,1.5
400,강남,2016-01-01,03,-1,0,1.5
400,강남,2016-01-01,04,-1.3,0,1.4
400,강남,2016-01-01,05,-1.7,0,1.9
400,강남,2016-01-01,06,-1.8,0,1
400,강남,2016-01-01,07,-1.7,0,1.4
400,강남,2016-01-01,08,-2,0,1.8
400,강남,2016-01-01,09,-1.8,0,1.8
400,강남,2016-01-01,10,-0.5,0,1.4
400,강남,2016-01-01,11,1.2,0,1.1
400,강남,2016-01-01,12,2.2,0,1.1
400,강남,2016-01-01,13,3.8,0,0.9
400,강남,2016-01-01,14,4,0,1.6
400,강남,2016-01-01,15,4.9,0,1.5
400,강남,2016-01-01,16,4.9,0,1.6
400,강남,2016-01-01,17,4.8,0,1.2
400,강남,2016-01-01,18,4.8,0,1
400,강남,2016-01-01,19,4.8,0,1.1
400,강남,2016-01-01,20,4.8,0,0.9
400,강남,2016-01-01,21,4.9,0,0.7
400,강남,2016-01-01,22,4.9,0,1
400,강남,2016-01-01,23,4.9,0,1.4
400,강남,2016-01-02,00,4.6,0,0.8
400,강남,2016-01-02,01,4.9,0,1
400,강남,2016-01-02,02,4.7,0,1.5
400,강남,2016-01-02,03,4.5,0,1.4
400,강남,2016-01-02,04,4.3,0,1.2
400,강남,2016-01-02,05,4.1,0,1.5
400,강남,2016-01-02,06,4,0,0.8
400,강남,2016-01-02,07,3.8,0,1.2
400,강남,2016-01-02,08,3.8,0,0.9
400,강남,2016-01-02,09,4.3,0,1.2
400,강남,2016-01-02,10,5.2,0,0.7
400,강남,2016-01-02,11,6.4,0,0.7
400,강남,2016-01-02,12,7.1,0,1.1
400,강남,2016-01-02,13,8.1,0,0.8
400,강남,2016-01-02,14,9.1,0,2.1
400,강남,2016-01-02,15,10,0,2.3
400,강남,2016-01-02,16,9.8,0,1.5
400,강남,2016-01-02,17,9.9,0,1.4
400,강남,2016-01-02,18,9.9,0,1.9
400,강남,2016-01-02,19,9.2,0,0.5
400,강남,2016-01-02,20,9,0,0.9
400,강남,2016-01-02,21,8.9,0,1.7
400,강남,2016-01-02,22,8.6,0,0.6
400,강남,2016-01-02,23,8.8,0,1.4
400,강남,2016-01-03,00,8.4,0,0.9
400,강남,2016-01-03,01,8,0,0.5
400,강남,2016-01-03,02,7.9,0,0.1
400,강남,2016-01-03,03,7.5,0,0.1
400,강남,2016-01-03,04,6.3,0,0.4
400,강남,2016-01-03,05,6.6,0,0
400,강남,2016-01-03,06,6.8,0,0.9
400,강남,2016-01-03,07,6.6,0,0.6
400,강남,2016-01-03,08,6.6,0,0.4
400,강남,2016-01-03,09,6.5,0,0.7
400,강남,2016-01-03,10,7.2,0,0.7
400,강남,2016-01-03,11,7.9,0,1.4
400,강남,2016-01-03,12,8.4,0,0.3
400,강남,2016-01-03,13,9.1,0,1
400,강남,2016-01-03,14,9.3,0,1.2
400,강남,2016-01-03,15,9.8,0,0.6
400,강남,2016-01-03,16,9.3,0,1
400,강남,2016-01-03,17,8.7,0,1.3
400,강남,2016-01-03,18,8.4,0,1.2
400,강남,2016-01-03,19,8.1,0,0.8
400,강남,2016-01-03,20,7.9,0,1.8
400,강남,2016-01-03,21,7.5,0,1.4
400,강남,2016-01-03,22,7.5,0,1.6
400,강남,2016-01-03,23,7.2,0,1.6
400,강남,2016-01-04,00,6.7,0,2
400,강남,2016-01-04,01,6.1,0,1.5
400,강남,2016-01-04,02,5.9,0,1.2
