지점번호,지점,날짜,시간,일시,기온 (℃),일강수량 (mm),풍속 (m/s)
402,강동,2016-03-27,15,2016-03-27 15,12.9,0,2.3
402,강동,2016-03-27,16,2016-03-27 16,12,0,1.2
402,강동,2016-03-27,17,2016-03-27 17,11,0,2.1
402,강동,2016-03-27,18,2016-03-27 18,10,0,1.1
402,강동,2016-03-27,19,2016-03-27 19,8.9,0,1.8
402,강동,2016-03-27,20,2016-03-27 20,8.3,0,2
402,강동,2016-03-27,21,2016-03-27 21,7.6,0,2.1
402,강동,2016-03-27,22,2016-03-27 22,7.3,0,1.2
402,강동,2016-03-27,23,2016-03-27 23,6.8,0,1.2
402,강동,2016-03-28,00,2016-03-28 00,6.5,0,1.1
402,강동,2016-03-28,01,2016-03-28 01,6.2,0,1
402,강동,2016-03-28,02,2016-03-28 02,5.3,0,0.4
402,강동,2016-03-28,03,2016-03-28 03,3.5,0,0.2
402,강동,2016-03-28,04,2016-03-28 04,2.9,0,0.6
402,강동,2016-03-28,05,2016-03-28 05,2.3,0,0.3
402,강동,2016-03-28,06,2016-03-28 06,2,0,0.2
402,강동,2016-03-28,07,2016-03-28 07,2.1,0,1.6
402,강동,2016-03-28,08,2016-03-28 08,4.1,0,0.9
402,강동,2016-03-28,09,2016-03-28 09,6,0,0.9
402,강동,2016-03-28,10,2016-03-28 10,9.7,0,0.7
402,강동,2016-03-28,11,2016-03-28 11,12.5,0,1.2
402,강동,2016-03-28,12,2016-03-28 12,13.2,0,1.2
402,강동,2016-03-28,13,2016-03-28 13,14,0,1.4
402,강동,2016-03-28,14,2016-03-28 14,15.8,0,1.7
402,강동,2016-03-28,15,2016-03-28 15,17.1,0,1.4
402,강동,2016-03-28,16,2016-03-28 16,16.7,0,1.5
402,강동,2016-03-28,17,2016-03-28 17,15.4,0,1.5
402,강동,2016-03-28,18,2016-03-28 18,14.4,0,0.9
402,강동,2016-03-28,19,2016-03-28 19,13.5,0,0.5
402,강동,2016-03-28,20,2016-03-28 20,12.6,0,0.9
402,강동,2016-03-28,21,2016-03-28 21,13,0,2.5
402,강동,2016-03-28,22,2016-03-28 22,11.8,0,2.7
402,강동,2016-03-28,23,2016-03-28 23,11,0,0.1
402,강동,2016-03-29,00,2016-03-29 00,9.5,0,0.7
402,강동,2016-03-29,01,2016-03-29 01,9.6,0,1.5
402,강동,2016-03-29,02,2016-03-29 02,9.4,0,1
402,강동,2016-03-29,03,2016-03-29 03,9,0,0.8
402,강동,2016-03-29,04,2016-03-29 04,8.5,0,0.7
402,강동,2016-03-29,05,2016-03-29 05,8.7,0,1.5
402,강동,2016-03-29,06,2016-03-29 06,8.5,0,0.8
402,강동,2016-03-29,07,2016-03-29 07,8.4,0,1.6
402,강동,2016-03-29,08,2016-03-29 08,9.8,0,1.2
402,강동,2016-03-29,09,2016-03-29 09,10.9,0,2
402,강동,2016-03-29,10,2016-03-29 10,13.5,0,2.9
402,강동,2016-03-29,11,2016-03-29 11,14.7,0,2.5
402,강동,2016-03-29,12,2016-03-29 12,16.3,0,3.4
402,강동,2016-03-29,13,2016-03-29 13,17.4,0,2.7
402,강동,2016-03-29,14,2016-03-29 14,18.3,0,3.2
402,강동,2016-03-29,15,2016-03-29 15,17.8,0,2.8
402,강동,2016-03-29,16,2016-03-29 16,16.9,0,4.1
402,강동,2016-03-29,17,2016-03-29 17,14.4,0,4.7
402,강동,2016-03-29,18,2016-03-29 18,13.5,0,3.4
402,강동,2016-03-29,19,2016-03-29 19,13,0,2.9
402,강동,2016-03-29,20,2016-03-29 20,12.4,0,3.3
402,강동,2016-03-29,21,2016-03-29 21,12.6,0,2.7
402,강동,2016-03-29,22,2016-03-29 22,11.2,0,2.9
402,강동,2016-03-29,23,2016-03-29 23,10.7,0,1.9
402,강동,2016-03-30,00,2016-03-30 00,10.3,0,1.7
402,강동,2016-03-30,01,2016-03-30 01,9.7,0,0.4
402,강동,2016-03-30,02,2016-03-30 02,8.6,0,0.9
402,강동,2016-03-30,03,2016-03-30 03,8.5,0,0.3
402,강동,2016-03-30,04,2016-03-30 04,8.7,0,0.3
402,강동,2016-03-30,05,2016-03-30 05,8.3,0,1.6
402,강동,2016-03-30,06,2016-03-30 06,8.6,0,1.1
402,강동,2016-03-30,07,2016-03-30 07,8.3,0,1
402,강동,2016-03-30,08,2016-03-30 08,9,0,1.5
402,강동,2016-03-30,09,2016-03-30 09,10.2,0,0.8
402,강동,2016-03-30,10,2016-03-30 10,13,0,2.2
402,강동,2016-03-30,11,2016-03-30 11,14.6,0,1.4
402,강동,2016-03-30,12,2016-03-30 12,15.3,0,1.2
402,강동,2016-03-30,13,2016-03-30 13,16.6,0,1.7
402,강동,2016-03-30,14,2016-03-30 14,17.9,0,1.5
402,강동,2016-03-30,15,2016-03-30 15,18.1,0,2
402,강동,2016-03-30,16,2016-03-30 16,17.5,0,1.5
402,강동,2016-03-30,17,2016-03-30 17,16.1,0,1.3
402,강동,2016-03-30,18,2016-03-30 18,15.1,0,1.4
402,강동,2016-03-30,19,2016-03-30 19,14.2,0,0.9
402,강동,2016-03-30,20,2016-03-30 20,13.8,0,0.7
402,강동,2016-03-30,21,2016-03-30 21,13.6,0,0.6
402,강동,2016-03-30,22,2016-03-30 22,12,0,0.3
402,강동,2016-03-30,23,2016-03-30 23,11,0,0.4
402,강동,2016-03-31,00,2016-03-31 00,9.7,0,0.3
402,강동,2016-03-31,01,2016-03-31 01,8.2,0,0.6
402,강동,2016-03-31,02,2016-03-31 02,6.8,0,1.3
402,강동,2016-03-31,03,2016-03-31 03,6.4,0,0.8
402,강동,2016-03-31,04,2016-03-31 04,6.2,0,1.7
402,강동,2016-03-31,05,2016-03-31 05,5.7,0,0.5
402,강동,2016-03-31,06,2016-03-31 06,5,0,0.5
402,강동,2016-03-31,07,2016-03-31 07,5.5,0,0.5
402,강동,2016-03-31,08,2016-03-31 08,7.1,0,0.5
402,강동,2016-03-31,09,2016-03-31 09,10,0,0.9
402,강동,2016-03-31,10,2016-03-31 10,13.3,0,1.2
402,강동,2016-03-31,11,2016-03-31 11,16.1,0,1.5
402,강동,2016-03-31,12,2016-03-31 12,18.1,0,1.1
402,강동,2016-03-31,13,2016-03-31 13,18.7,0,0.6
402,강동,2016-03-31,14,2016-03-31 14,19.8,0,1
402,강동,2016-03-31,15,2016-03-31 15,20.7,0,1.3
402,강동,2016-03-31,16,2016-03-31 16,20.6,0,1.5
402,강동,2016-03-31,17,2016-03-31 17,19.9,0,1.2
402,강동,2016-03-31,18,2016-03-31 18,18.9,0,0.7
402,강동,2016-03-31,19,2016-03-31 19,17.7,0,0.8
402,강동,2016-03-31,20,2016-03-31 20,16.6,0,1.4
402,강동,2016-03-31,21,2016-03-31 21,15.2,0,1.5
402,강동,2016-03-31,22,2016-03-31 22,13.9,0,1.1
402,강동,2016-03-31,23,2016-03-31 23,13.2,0,1
404,강서 *,2016-03-01,00,2016-03-01 00,-4.1,0,1.9
404,강서 *,2016-03-01,01,2016-03-01 01,-4.7,0,2.3
404,강서 *,2016-03-01,02,2016-03-01 02,-4.5,0,1.8
404,강서 *,2016-03-01,03,2016-03-01 03,-4.8,0,1.9
404,강서 *,2016-03-01,04,2016-03-01 04,-4.8,0,2
404,강서 *,2016-03-01,05,2016-03-01 05,-5,0,2.1
404,강서 *,2016-03-01,06,2016-03-01 06,-5.3,0,1.3
404,강서 *,2016-03-01,07,2016-03-01 07,-5.4,0,0.8
404,강서 *,2016-03-01,08,2016-03-01 08,-4.6,0,0.9
404,강서 *,2016-03-01,09,2016-03-01 09,-3.6,0,0.9
404,강서 *,2016-03-01,10,2016-03-01 10,-2.8,0,1.2
404,강서 *,2016-03-01,11,2016-03-01 11,-1.9,0,2.1
404,강서 *,2016-03-01,12,2016-03-01 12,-0.7,0,1.8
404,강서 *,2016-03-01,13,2016-03-01 13,0.8,0,2.4
404,강서 *,2016-03-01,14,2016-03-01 14,0.4,0,3.3
404,강서 *,2016-03-01,15,2016-03-01 15,0.7,0,2.9
404,강서 *,2016-03-01,16,2016-03-01 16,0.5,0,2.5
404,강서 *,2016-03-01,17,2016-03-01 17,0.5,0,3
404,강서 *,2016-03-01,18,2016-03-01 18,0.6,0,2.1
404,강서 *,2016-03-01,19,2016-03-01 19,0.1,0,1.8
404,강서 *,2016-03-01,20,2016-03-01 20,0,0,1.2
404,강서 *,2016-03-01,21,2016-03-01 21,0.4,0,1.6
404,강서 *,2016-03-01,22,2016-03-01 22,0.1,0,1.2
404,강서 *,2016-03-01,23,2016-03-01 23,0.1,0,1.2
404,강서 *,2016-03-02,00,2016-03-02 00,-0.1,0,2.5
404,강서 *,2016-03-02,01,2016-03-02 01,-0.3,0,2.6
404,강서 *,2016-03-02,02,2016-03-02 02,-0.3,0,2.6
404,강서 *,2016-03-02,03,2016-03-02 03,-0.1,0,2.1
404,강서 *,2016-03-02,04,2016-03-02 04,0,0,2.5
404,강서 *,2016-03-02,05,2016-03-02 05,0.3,0,2.5
404,강서 *,2016-03-02,06,2016-03-02 06,0.5,0,2.9
404,강서 *,2016-03-02,07,2016-03-02 07,0.7,0,2.2
404,강서 *,2016-03-02,08,2016-03-02 08,1,0,3.2
404,강서 *,2016-03-02,09,2016-03-02 09,1.7,0,3.3
404,강서 *,2016-03-02,10,2016-03-02 10,2.6,0,3.2
404,강서 *,2016-03-02,11,2016-03-02 11,3.7,0,1.5
404,강서 *,2016-03-02,12,2016-03-02 12,4.7,0,2.1
404,강서 *,2016-03-02,13,2016-03-02 13,5.8,0,2.3
404,강서 *,2016-03-02,14,2016-03-02 14,7.3,0,3.2
404,강서 *,2016-03-02,15,2016-03-02 15,7.7,0,3.6
404,강서 *,2016-03-02,16,2016-03-02 16,7.4,0,4.1
404,강서 *,2016-03-02,17,2016-03-02 17,7.4,0,3.3
404,강서 *,2016-03-02,18,2016-03-02 18,6.4,0,2.9
404,강서 *,2016-03-02,19,2016-03-02 19,5.6,0,2.3
404,강서 *,2016-03-02,20,2016-03-02 20,5.2,0,1.9
404,강서 *,2016-03-02,21,2016-03-02 21,4.9,0,1.6
404,강서 *,2016-03-02,22,2016-03-02 22,4.6,0,1.2
404,강서 *,2016-03-02,23,2016-03-02 23,4.5,0,1.7
404,강서 *,2016-03-03,00,2016-03-03 00,4.7,0,1.3
404,강서 *,2016-03-03,01,2016-03-03 01,4.9,0,1.6
404,강서 *,2016-03-03,02,2016-03-03 02,5,0,1
404,강서 *,2016-03-03,03,2016-03-03 03,5.1,0,2.2
404,강서 *,2016-03-03,04,2016-03-03 04,5.3,0,2.4
404,강서 *,2016-03-03,05,2016-03-03 05,5.4,0,2
404,강서 *,2016-03-03,06,2016-03-03 06,5.5,0,2.5
404,강서 *,2016-03-03,07,2016-03-03 07,5.5,0,3.5
404,강서 *,2016-03-03,08,2016-03-03 08,5.6,0,2.7
404,강서 *,2016-03-03,09,2016-03-03 09,6.3,0,3
404,강서 *,2016-03-03,10,2016-03-03 10,7.2,0,3.5
404,강서 *,2016-03-03,11,2016-03-03 11,8.1,0,3.9
404,강서 *,2016-03-03,12,2016-03-03 12,9,0,3.7
404,강서 *,2016-03-03,13,2016-03-03 13,10.1,0,3.1
404,강서 *,2016-03-03,14,2016-03-03 14,10.7,0,2.6
404,강서 *,2016-03-03,15,2016-03-03 15,11.4,0,2.2
404,강서 *,2016-03-03,16,2016-03-03 16,13,0,1.5
404,강서 *,2016-03-03,17,2016-03-03 17,12.4,0,1.1
404,강서 *,2016-03-03,18,2016-03-03 18,12,0,0.9
404,강서 *,2016-03-03,19,2016-03-03 19,10.5,0,1
404,강서 *,2016-03-03,20,2016-03-03 20,9.6,0,1.1
404,강서 *,2016-03-03,21,2016-03-03 21,9,0,0.4
404,강서 *,2016-03-03,22,2016-03-03 22,9,0,0.9
404,강서 *,2016-03-03,23,2016-03-03 23,9.8,0,3.2
404,강서 *,2016-03-04,00,2016-03-04 00,9.7,0,3.9
404,강서 *,2016-03-04,01,2016-03-04 01,9.6,0,4.1
404,강서 *,2016-03-04,02,2016-03-04 02,9.7,0,3.3
404,강서 *,2016-03-04,03,2016-03-04 03,9.7,0,3.3
404,강서 *,2016-03-04,04,2016-03-04 04,9.3,0,3.2
404,강서 *,2016-03-04,05,2016-03-04 05,9.1,0,3.7
404,강서 *,2016-03-04,06,2016-03-04 06,8.8,0,2.7
404,강서 *,2016-03-04,07,2016-03-04 07,8.5,0,3.7
404,강서 *,2016-03-04,08,2016-03-04 08,8.8,0,3.4
404,강서 *,2016-03-04,09,2016-03-04 09,10.1,0,3.1
404,강서 *,2016-03-04,10,2016-03-04 10,11.6,0,3.7
404,강서 *,2016-03-04,11,2016-03-04 11,12.8,0,3.6
404,강서 *,2016-03-04,12,2016-03-04 12,15.3,0,1.8
404,강서 *,2016-03-04,13,2016-03-04 13,16.5,0,2.7
404,강서 *,2016-03-04,14,2016-03-04 14,17.4,0,2.7
404,강서 *,2016-03-04,15,2016-03-04 15,18.4,0,3.1
404,강서 *,2016-03-04,16,2016-03-04 16,18.7,0,2.4
404,강서 *,2016-03-04,17,2016-03-04 17,18.8,0,2.5
404,강서 *,2016-03-04,18,2016-03-04 18,17.8,0,2.9
404,강서 *,2016-03-04,19,2016-03-04 19,16.6,0,2.8
404,강서 *,2016-03-04,20,2016-03-04 20,15.7,0,3.2
404,강서 *,2016-03-04,21,2016-03-04 21,15,0,3.9
404,강서 *,2016-03-04,22,2016-03-04 22,14.6,0,3.3
404,강서 *,2016-03-04,23,2016-03-04 23,14.4,0,3.1
404,강서 *,2016-03-05,00,2016-03-05 00,14.1,0,3.4
404,강서 *,2016-03-05,01,2016-03-05 01,12.8,4,2.9
404,강서 *,2016-03-05,02,2016-03-05 02,12.4,4,4.6
404,강서 *,2016-03-05,03,2016-03-05 03,12.3,4,4.9
404,강서 *,2016-03-05,04,2016-03-05 04,12.3,4,4.2
404,강서 *,2016-03-05,05,2016-03-05 05,12.3,4,3.7
404,강서 *,2016-03-05,06,2016-03-05 06,12.6,4,3.2
404,강서 *,2016-03-05,07,2016-03-05 07,12.7,4,3.9
404,강서 *,2016-03-05,08,2016-03-05 08,12.9,4,4.5
404,강서 *,2016-03-05,09,2016-03-05 09,13.2,4,4.4
404,강서 *,2016-03-05,10,2016-03-05 10,14.7,4,5.9
404,강서 *,2016-03-05,11,2016-03-05 11,14.6,4,5.5
404,강서 *,2016-03-05,12,2016-03-05 12,14.5,4,6.4
404,강서 *,2016-03-05,13,2016-03-05 13,14.5,4.5,6.1
404,강서 *,2016-03-05,14,2016-03-05 14,14,7,4.3
404,강서 *,2016-03-05,15,2016-03-05 15,12.5,19.5,0.7
404,강서 *,2016-03-05,16,2016-03-05 16,12.4,28.5,3.1
404,강서 *,2016-03-05,17,2016-03-05 17,11.9,32,3
404,강서 *,2016-03-05,18,2016-03-05 18,11.2,34,2.1
404,강서 *,2016-03-05,19,2016-03-05 19,11.2,36,1.3
404,강서 *,2016-03-05,20,2016-03-05 20,10.4,36,1.6
404,강서 *,2016-03-05,21,2016-03-05 21,10.3,36,1.2
404,강서 *,2016-03-05,22,2016-03-05 22,9.8,36,1.5
404,강서 *,2016-03-05,23,2016-03-05 23,9.7,36,0.6
404,강서 *,2016-03-06,00,2016-03-06 00,8.5,36,1.9
404,강서 *,2016-03-06,01,2016-03-06 01,7.7,0,2.1
404,강서 *,2016-03-06,02,2016-03-06 02,7.1,0,1.7
404,강서 *,2016-03-06,03,2016-03-06 03,7,0,1.4
404,강서 *,2016-03-06,04,2016-03-06 04,6.5,0,1.3
404,강서 *,2016-03-06,05,2016-03-06 05,6,0,1.2
404,강서 *,2016-03-06,06,2016-03-06 06,5.6,0,0.6
404,강서 *,2016-03-06,07,2016-03-06 07,5.1,0,0.6
404,강서 *,2016-03-06,08,2016-03-06 08,5.1,0,1
404,강서 *,2016-03-06,09,2016-03-06 09,5.3,0,1.5
404,강서 *,2016-03-06,10,2016-03-06 10,6.8,0,0.8
404,강서 *,2016-03-06,11,2016-03-06 11,8.2,0,1.6
404,강서 *,2016-03-06,12,2016-03-06 12,10.1,0,1.6
404,강서 *,2016-03-06,13,2016-03-06 13,11.4,0,1.6
404,강서 *,2016-03-06,14,2016-03-06 14,12.4,0,1.7
404,강서 *,2016-03-06,15,2016-03-06 15,11.9,0,1.7
404,강서 *,2016-03-06,16,2016-03-06 16,12.5,0,2.2
404,강서 *,2016-03-06,17,2016-03-06 17,11.9,0,1.9
404,강서 *,2016-03-06,18,2016-03-06 18,10.3,0,1.4
404,강서 *,2016-03-06,19,2016-03-06 19,8.6,0,1
404,강서 *,2016-03-06,20,2016-03-06 20,8.3,0,0.7
404,강서 *,2016-03-06,21,2016-03-06 21,7.9,0,0.6
404,강서 *,2016-03-06,22,2016-03-06 22,7.6,0,0.8
404,강서 *,2016-03-06,23,2016-03-06 23,7.8,0,0.6
404,강서 *,2016-03-07,00,2016-03-07 00,7.8,0,0.6
404,강서 *,2016-03-07,01,2016-03-07 01,7,0,0.5
404,강서 *,2016-03-07,02,2016-03-07 02,7.4,0,0.3
404,강서 *,2016-03-07,03,2016-03-07 03,7.4,0,0.5
404,강서 *,2016-03-07,04,2016-03-07 04,5.7,0,1.1
404,강서 *,2016-03-07,05,2016-03-07 05,6.3,0,0.4
404,강서 *,2016-03-07,06,2016-03-07 06,5.8,0,1.3
404,강서 *,2016-03-07,07,2016-03-07 07,5.7,0,1.4
404,강서 *,2016-03-07,08,2016-03-07 08,6.1,0,0.8
404,강서 *,2016-03-07,09,2016-03-07 09,7.8,0,0.9
404,강서 *,2016-03-07,10,2016-03-07 10,9.2,0,2.1
404,강서 *,2016-03-07,11,2016-03-07 11,9.9,0,3.5
404,강서 *,2016-03-07,12,2016-03-07 12,10.2,0,2.4
404,강서 *,2016-03-07,13,2016-03-07 13,10,0,1.1
404,강서 *,2016-03-07,14,2016-03-07 14,10.9,0,0.6
404,강서 *,2016-03-07,15,2016-03-07 15,11.4,0,0.7
404,강서 *,2016-03-07,16,2016-03-07 16,11.8,0,1
404,강서 *,2016-03-07,17,2016-03-07 17,11.8,0,1.2
404,강서 *,2016-03-07,18,2016-03-07 18,10.6,0,0.7
404,강서 *,2016-03-07,19,2016-03-07 19,9.9,0,0.5
404,강서 *,2016-03-07,20,2016-03-07 20,9.5,0,0.6
404,강서 *,2016-03-07,21,2016-03-07 21,9.2,0,0.6
404,강서 *,2016-03-07,22,2016-03-07 22,8.5,0,0.7
404,강서 *,2016-03-07,23,2016-03-07 23,7.7,0,1
404,강서 *,2016-03-08,00,2016-03-08 00,7.1,0,1.1
404,강서 *,2016-03-08,01,2016-03-08 01,6.1,0,1.2
404,강서 *,2016-03-08,02,2016-03-08 02,5.6,0,0.8
404,강서 *,2016-03-08,03,2016-03-08 03,5,0,1.1
404,강서 *,2016-03-08,04,2016-03-08 04,4.3,0,0.9
404,강서 *,2016-03-08,05,2016-03-08 05,3.7,0,0.7
404,강서 *,2016-03-08,06,2016-03-08 06,3.4,0,0.5
404,강서 *,2016-03-08,07,2016-03-08 07,3.2,0,0.7
404,강서 *,2016-03-08,08,2016-03-08 08,3.4,0,1.4
404,강서 *,2016-03-08,09,2016-03-08 09,3.5,0,1.8
404,강서 *,2016-03-08,10,2016-03-08 10,3.4,0,1.5
404,강서 *,2016-03-08,11,2016-03-08 11,3.7,0,2.2
404,강서 *,2016-03-08,12,2016-03-08 12,4,0,1.8
404,강서 *,2016-03-08,13,2016-03-08 13,5.4,0,2
404,강서 *,2016-03-08,14,2016-03-08 14,5.2,0,2.2
404,강서 *,2016-03-08,15,2016-03-08 15,5.6,0,1.6
404,강서 *,2016-03-08,16,2016-03-08 16,4.8,0,1.5
404,강서 *,2016-03-08,17,2016-03-08 17,4,0,3.3
404,강서 *,2016-03-08,18,2016-03-08 18,3.4,0,2.9
404,강서 *,2016-03-08,19,2016-03-08 19,2.9,0,2.3
404,강서 *,2016-03-08,20,2016-03-08 20,2.1,0,1.2
404,강서 *,2016-03-08,21,2016-03-08 21,0.4,0,1.7
404,강서 *,2016-03-08,22,2016-03-08 22,-0.5,0,1.7
404,강서 *,2016-03-08,23,2016-03-08 23,-0.8,0,0.8
404,강서 *,2016-03-09,00,2016-03-09 00,-0.7,0,0.9
404,강서 *,2016-03-09,01,2016-03-09 01,-1,0,0.8
404,강서 *,2016-03-09,02,2016-03-09 02,-1.1,0,1.1
404,강서 *,2016-03-09,03,2016-03-09 03,-1.1,0,1
404,강서 *,2016-03-09,04,2016-03-09 04,-1.4,0,0.9
404,강서 *,2016-03-09,05,2016-03-09 05,-1.5,0,1
404,강서 *,2016-03-09,06,2016-03-09 06,-1.7,0,1.1
404,강서 *,2016-03-09,07,2016-03-09 07,-1.9,0,1
404,강서 *,2016-03-09,08,2016-03-09 08,-1.7,0,1.3
404,강서 *,2016-03-09,09,2016-03-09 09,-0.2,0,1.5
404,강서 *,2016-03-09,10,2016-03-09 10,0.5,0,1.8
404,강서 *,2016-03-09,11,2016-03-09 11,2.5,0,1.5
404,강서 *,2016-03-09,12,2016-03-09 12,3.3,0,1.7
404,강서 *,2016-03-09,13,2016-03-09 13,3.9,0,2.3
404,강서 *,2016-03-09,14,2016-03-09 14,3.9,0,2.3
404,강서 *,2016-03-09,15,2016-03-09 15,3.8,0,3.1
404,강서 *,2016-03-09,16,2016-03-09 16,4.2,0,1.9
404,강서 *,2016-03-09,17,2016-03-09 17,3.3,0,2.6
404,강서 *,2016-03-09,18,2016-03-09 18,2.4,0,2.7
404,강서 *,2016-03-09,19,2016-03-09 19,0.7,0,2.2
404,강서 *,2016-03-09,20,2016-03-09 20,-0.1,0,1.8
404,강서 *,2016-03-09,21,2016-03-09 21,-0.7,0,1.6
404,강서 *,2016-03-09,22,2016-03-09 22,-1.3,0,1.9
404,강서 *,2016-03-09,23,2016-03-09 23,-1.6,0,1.2
404,강서 *,2016-03-10,00,2016-03-10 00,-1.7,0,1.2
404,강서 *,2016-03-10,01,2016-03-10 01,-1.9,0,0.9
404,강서 *,2016-03-10,02,2016-03-10 02,-2,0,1
404,강서 *,2016-03-10,03,2016-03-10 03,-2.1,0,0.7
404,강서 *,2016-03-10,04,2016-03-10 04,-2.3,0,0.8
404,강서 *,2016-03-10,05,2016-03-10 05,-2.5,0,1.1
404,강서 *,2016-03-10,06,2016-03-10 06,-2.6,0,0.9
404,강서 *,2016-03-10,07,2016-03-10 07,-2.9,0,0.8
404,강서 *,2016-03-10,08,2016-03-10 08,-2.2,0,1.3
404,강서 *,2016-03-10,09,2016-03-10 09,-1.4,0,1.8
404,강서 *,2016-03-10,10,2016-03-10 10,-0.7,0,1.9
404,강서 *,2016-03-10,11,2016-03-10 11,-0.1,0,2.2
404,강서 *,2016-03-10,12,2016-03-10 12,0.9,0,2.2
404,강서 *,2016-03-10,13,2016-03-10 13,1.1,0,3.2
404,강서 *,2016-03-10,14,2016-03-10 14,2.8,0,1.9
404,강서 *,2016-03-10,15,2016-03-10 15,2.7,0,3
404,강서 *,2016-03-10,16,2016-03-10 16,2.8,0,2.2
404,강서 *,2016-03-10,17,2016-03-10 17,2.7,0,2.3
404,강서 *,2016-03-10,18,2016-03-10 18,1.9,0,2.2
404,강서 *,2016-03-10,19,2016-03-10 19,1,0,1.4
404,강서 *,2016-03-10,20,2016-03-10 20,0.4,0,1.2
404,강서 *,2016-03-10,21,2016-03-10 21,-0.1,0,1
404,강서 *,2016-03-10,22,2016-03-10 22,-0.5,0,0.7
404,강서 *,2016-03-10,23,2016-03-10 23,-0.6,0,1.1
404,강서 *,2016-03-11,00,2016-03-11 00,-1.1,0,0.9
404,강서 *,2016-03-11,01,2016-03-11 01,-1.4,0,1.3
404,강서 *,2016-03-11,02,2016-03-11 02,-2.3,0,1
404,강서 *,2016-03-11,03,2016-03-11 03,-2.5,0,0.9
404,강서 *,2016-03-11,04,2016-03-11 04,-2.7,0,0.8
404,강서 *,2016-03-11,05,2016-03-11 05,-2.8,0,0.5
404,강서 *,2016-03-11,06,2016-03-11 06,-3.1,0,0.3
404,강서 *,2016-03-11,07,2016-03-11 07,-3,0,0.6
404,강서 *,2016-03-11,08,2016-03-11 08,-1.9,0,1
404,강서 *,2016-03-11,09,2016-03-11 09,-1.3,0,1.7
404,강서 *,2016-03-11,10,2016-03-11 10,0.2,0,1.6
404,강서 *,2016-03-11,11,2016-03-11 11,1.2,0,1.6
404,강서 *,2016-03-11,12,2016-03-11 12,1.3,0,1.8
404,강서 *,2016-03-11,13,2016-03-11 13,3.1,0,1.6
404,강서 *,2016-03-11,14,2016-03-11 14,4,0,1.8
404,강서 *,2016-03-11,15,2016-03-11 15,4.8,0,1.4
404,강서 *,2016-03-11,16,2016-03-11 16,3.7,0,1.7
404,강서 *,2016-03-11,17,2016-03-11 17,3.8,0,2
404,강서 *,2016-03-11,18,2016-03-11 18,2.1,0,3.3
404,강서 *,2016-03-11,19,2016-03-11 19,0.7,0,3.1
404,강서 *,2016-03-11,20,2016-03-11 20,0.6,0,1.5
404,강서 *,2016-03-11,21,2016-03-11 21,0.9,0,2
404,강서 *,2016-03-11,22,2016-03-11 22,0.9,0,2.5
404,강서 *,2016-03-11,23,2016-03-11 23,0.5,0,2.1
404,강서 *,2016-03-12,00,2016-03-12 00,0.2,0,1.2
404,강서 *,2016-03-12,01,2016-03-12 01,-0.1,0,1.6
404,강서 *,2016-03-12,02,2016-03-12 02,-0.7,0,0.1
404,강서 *,2016-03-12,03,2016-03-12 03,-0.2,0,0.5
404,강서 *,2016-03-12,04,2016-03-12 04,-0.1,0,1.1
404,강서 *,2016-03-12,05,2016-03-12 05,0.1,0,2
404,강서 *,2016-03-12,06,2016-03-12 06,-0.2,0,2
404,강서 *,2016-03-12,07,2016-03-12 07,-0.3,0,2.7
404,강서 *,2016-03-12,08,2016-03-12 08,0.2,0,2.5
404,강서 *,2016-03-12,09,2016-03-12 09,1,0,2.8
404,강서 *,2016-03-12,10,2016-03-12 10,2.8,0,2.2
404,강서 *,2016-03-12,11,2016-03-12 11,3.7,0,1.7
404,강서 *,2016-03-12,12,2016-03-12 12,4.4,0,3.3
404,강서 *,2016-03-12,13,2016-03-12 13,5.5,0,2.3
404,강서 *,2016-03-12,14,2016-03-12 14,5.1,0,2.3
404,강서 *,2016-03-12,15,2016-03-12 15,6.3,0,2.6
404,강서 *,2016-03-12,16,2016-03-12 16,5.7,0,3.5
404,강서 *,2016-03-12,17,2016-03-12 17,5.4,0,3.3
404,강서 *,2016-03-12,18,2016-03-12 18,5.5,0,2
404,강서 *,2016-03-12,19,2016-03-12 19,5,0,1.8
404,강서 *,2016-03-12,20,2016-03-12 20,4.6,0,1.5
404,강서 *,2016-03-12,21,2016-03-12 21,4.3,0,1.8
404,강서 *,2016-03-12,22,2016-03-12 22,3.8,0,2.1
404,강서 *,2016-03-12,23,2016-03-12 23,3.6,0,1.4
404,강서 *,2016-03-13,00,2016-03-13 00,3.5,0,0.8
404,강서 *,2016-03-13,01,2016-03-13 01,3.6,0,1.2
404,강서 *,2016-03-13,02,2016-03-13 02,3.7,0,1
404,강서 *,2016-03-13,03,2016-03-13 03,3.7,0,1.2
404,강서 *,2016-03-13,04,2016-03-13 04,3.8,0,0.7
404,강서 *,2016-03-13,05,2016-03-13 05,3.9,0,1.2
404,강서 *,2016-03-13,06,2016-03-13 06,4.1,0,0.1
404,강서 *,2016-03-13,07,2016-03-13 07,4,0,0.7
404,강서 *,2016-03-13,08,2016-03-13 08,4,0,0.9
404,강서 *,2016-03-13,09,2016-03-13 09,3.9,0,1.9
404,강서 *,2016-03-13,10,2016-03-13 10,4.5,0,1
404,강서 *,2016-03-13,11,2016-03-13 11,4.7,0,1.2
404,강서 *,2016-03-13,12,2016-03-13 12,4.9,0,1.6
404,강서 *,2016-03-13,13,2016-03-13 13,5,0,0.7
