지점번호,지점,날짜,시간,기온 (℃),일강수량 (mm),풍속 (m/s)
400,강남,2016-12-01,00,8.4,1.5,2.6
400,강남,2016-12-01,01,8.2,0,1.9
400,강남,2016-12-01,02,8.1,0,2.1
400,강남,2016-12-01,03,8,0,1.6
400,강남,2016-12-01,04,8.3,0,1.6
400,강남,2016-12-01,05,8.3,0,2.1
400,강남,2016-12-01,06,7.7,0,1.3
400,강남,2016-12-01,07,7.3,0,2
400,강남,2016-12-01,08,7.3,0,1.7
400,강남,2016-12-01,09,7.4,0,1.8
400,강남,2016-12-01,10,7.1,0,2.5
400,강남,2016-12-01,11,7.5,0,2.3
400,강남,2016-12-01,12,7.2,0,2.4
400,강남,2016-12-01,13,6.6,0,4.5
400,강남,2016-12-01,14,6.7,0,4
400,강남,2016-12-01,15,6.6,0,2.4
400,강남,2016-12-01,16,6.3,0,3.8
400,강남,2016-12-01,17,5.8,0,2.4
400,강남,2016-12-01,18,5.2,0,3
400,강남,2016-12-01,19,3.9,0,2.1
400,강남,2016-12-01,20,2.7,0,1.9
400,강남,2016-12-01,21,2.5,0,1.3
400,강남,2016-12-01,22,2.2,0,1.3
400,강남,2016-12-01,23,1.7,0,1.9
400,강남,2016-12-02,00,1.5,0,1.9
400,강남,2016-12-02,01,1.1,0,0.7
400,강남,2016-12-02,02,0.9,0,0.9
400,강남,2016-12-02,03,0.8,0,0.6
400,강남,2016-12-02,04,0.7,0,1.1
400,강남,2016-12-02,05,0.4,0,1.4
400,강남,2016-12-02,06,0.2,0,1.1
400,강남,2016-12-02,07,0.3,0,0.6
400,강남,2016-12-02,08,0.6,0,1.3
400,강남,2016-12-02,09,0.4,0,1.3
400,강남,2016-12-02,10,1.7,0,0.9
400,강남,2016-12-02,11,4,0,1.1
400,강남,2016-12-02,12,5.6,0,1.3
400,강남,2016-12-02,13,5.6,0,2.9
400,강남,2016-12-02,14,6.9,0,2.8
400,강남,2016-12-02,15,7,0,3.1
400,강남,2016-12-02,16,7,0,1.8
400,강남,2016-12-02,17,6.6,0,1.6
400,강남,2016-12-02,18,6.4,0,1.7
400,강남,2016-12-02,19,5.8,0,1.7
400,강남,2016-12-02,20,5.3,0,1
400,강남,2016-12-02,21,5,0,0.3
400,강남,2016-12-02,22,4.1,0,1.7
400,강남,2016-12-02,23,3.5,0,1
400,강남,2016-12-03,00,2.8,0,1.6
400,강남,2016-12-03,01,2.3,0,2.1
400,강남,2016-12-03,02,2,0,0.3
400,강남,2016-12-03,03,1.8,0,1.3
400,강남,2016-12-03,04,1.4,0,1.3
400,강남,2016-12-03,05,0.9,0,0.9
400,강남,2016-12-03,06,1.6,0,1.5
400,강남,2016-12-03,07,1.3,0,1.3
400,강남,2016-12-03,08,1,0,1.3
400,강남,2016-12-03,09,1.9,0,1.2
400,강남,2016-12-03,10,5.2,0,0.7
400,강남,2016-12-03,11,5.7,0,1.2
400,강남,2016-12-03,12,6.9,0,1.9
400,강남,2016-12-03,13,7.7,0,1.7
400,강남,2016-12-03,14,8.8,0,1
400,강남,2016-12-03,15,9.9,0,1.3
400,강남,2016-12-03,16,9.9,0,1.2
400,강남,2016-12-03,17,9.4,0,1.3
400,강남,2016-12-03,18,8.9,0,0.7
400,강남,2016-12-03,19,8,0,0.7
400,강남,2016-12-03,20,7.7,0,1
400,강남,2016-12-03,21,7.2,0,0.6
400,강남,2016-12-03,22,6.9,0,0.9
400,강남,2016-12-03,23,6.4,0,0.8
400,강남,2016-12-04,00,5,0,1
400,강남,2016-12-04,01,4.8,0,1
400,강남,2016-12-04,02,4.6,0,1.4
400,강남,2016-12-04,03,4.3,0,1.1
400,강남,2016-12-04,04,4,0,0.6
400,강남,2016-12-04,05,4.4,0,0.2
400,강남,2016-12-04,06,3.9,0,1.1
400,강남,2016-12-04,07,3.3,0,1.1
400,강남,2016-12-04,08,3.7,0,0.6
400,강남,2016-12-04,09,4.1,0,0.8
400,강남,2016-12-04,10,4.3,0,1.6
400,강남,2016-12-04,11,5.2,0,0.8
400,강남,2016-12-04,12,6.2,0,1.1
400,강남,2016-12-04,13,7.1,0,1.2
400,강남,2016-12-04,14,8.7,0,0.7
400,강남,2016-12-04,15,8.7,0,1.6
400,강남,2016-12-04,16,9,0,1.1
400,강남,2016-12-04,17,9.2,0,1.4
400,강남,2016-12-04,18,9.1,0,0.8
400,강남,2016-12-04,19,8.8,0,0.5
400,강남,2016-12-04,20,8.3,0,1.3
400,강남,2016-12-04,21,7.8,0,0.3
400,강남,2016-12-04,22,7.3,0,0.3
400,강남,2016-12-04,23,7.3,0,1.1
400,강남,2016-12-05,00,7.3,0,1
400,강남,2016-12-05,01,6.6,0,1.2
400,강남,2016-12-05,02,5.5,1,0.8
400,강남,2016-12-05,03,5.3,1,1.4
400,강남,2016-12-05,04,5.2,1,1.5
400,강남,2016-12-05,05,5.5,1,1.5
400,강남,2016-12-05,06,5.6,1,1.5
400,강남,2016-12-05,07,6.3,1,1.2
400,강남,2016-12-05,08,6.6,1,1.2
400,강남,2016-12-05,09,6.9,1,1.2
400,강남,2016-12-05,10,8.4,1,0.5
400,강남,2016-12-05,11,9.3,1,0.9
400,강남,2016-12-05,12,10.6,1,2.8
400,강남,2016-12-05,13,10.6,1,3.4
400,강남,2016-12-05,14,10.6,1,3.5
400,강남,2016-12-05,15,10.1,1,3
400,강남,2016-12-05,16,9.7,1,2.7
400,강남,2016-12-05,17,9,1,3
400,강남,2016-12-05,18,8.3,1,3.3
400,강남,2016-12-05,19,7.6,1,3.3
400,강남,2016-12-05,20,6.6,1,2.7
400,강남,2016-12-05,21,5.5,1,3.1
400,강남,2016-12-05,22,4.4,1,3
400,강남,2016-12-05,23,2.9,1,4.1
400,강남,2016-12-06,00,2.1,1,2.7
400,강남,2016-12-06,01,1.2,0,3.2
400,강남,2016-12-06,02,0.5,0,3.1
400,강남,2016-12-06,03,-0.2,0,2
400,강남,2016-12-06,04,-1.1,0,1.4
400,강남,2016-12-06,05,-1.4,0,2.4
400,강남,2016-12-06,06,-1.9,0,2.8
400,강남,2016-12-06,07,-2.1,0,2.3
400,강남,2016-12-06,08,-2.2,0,2.3
400,강남,2016-12-06,09,-1.9,0,1.9
400,강남,2016-12-06,10,-1,0,1.4
400,강남,2016-12-06,11,0.1,0,1.7
400,강남,2016-12-06,12,0.8,0,2.4
400,강남,2016-12-06,13,1.3,0,2.9
400,강남,2016-12-06,14,3.1,0,1.3
400,강남,2016-12-06,15,3.4,0,1.1
400,강남,2016-12-06,16,3.5,0,1.6
400,강남,2016-12-06,17,2.9,0,2
400,강남,2016-12-06,18,2.3,0,1.3
400,강남,2016-12-06,19,2.2,0,1.9
400,강남,2016-12-06,20,1.7,0,2.4
400,강남,2016-12-06,21,1.7,0,1.4
400,강남,2016-12-06,22,1.4,0,0.5
400,강남,2016-12-06,23,0.8,0,1.3
400,강남,2016-12-07,00,0.4,0,0.3
400,강남,2016-12-07,01,0.3,0,0.8
400,강남,2016-12-07,02,0.2,0,1.2
400,강남,2016-12-07,03,0.2,0,1
400,강남,2016-12-07,04,-0.5,0,2.3
400,강남,2016-12-07,05,0,0,1.5
400,강남,2016-12-07,06,-0.2,0,1.6
400,강남,2016-12-07,07,-0.6,0,0.8
400,강남,2016-12-07,08,-0.1,0,1
400,강남,2016-12-07,09,0.6,0,1.2
400,강남,2016-12-07,10,1.6,0,1.4
400,강남,2016-12-07,11,2.6,0,1.6
400,강남,2016-12-07,12,4.7,0,1
400,강남,2016-12-07,13,4.8,0,1
400,강남,2016-12-07,14,5.7,0,1.2
400,강남,2016-12-07,15,7.2,0,0.6
400,강남,2016-12-07,16,7.3,0,1.2
400,강남,2016-12-07,17,6.9,0,1.2
400,강남,2016-12-07,18,6.3,0,0.6
400,강남,2016-12-07,19,5.9,0,1.1
400,강남,2016-12-07,20,5.5,0,0.6
400,강남,2016-12-07,21,5.3,0,1.2
400,강남,2016-12-07,22,4.5,0,1.1
400,강남,2016-12-07,23,3.8,0,1.3
400,강남,2016-12-08,00,3.2,0,2.1
400,강남,2016-12-08,01,2.7,0,1.1
400,강남,2016-12-08,02,2.3,0,1.3
400,강남,2016-12-08,03,1.5,0,1.2
400,강남,2016-12-08,04,0.6,0,1.3
400,강남,2016-12-08,05,0,0,1.3
400,강남,2016-12-08,06,-0.2,0,1.4
400,강남,2016-12-08,07,-0.2,0,0.7
400,강남,2016-12-08,08,-0.6,0,1.7
400,강남,2016-12-08,09,0.1,0,1.3
400,강남,2016-12-08,10,0.9,0,1.7
400,강남,2016-12-08,11,3,0,1.2
400,강남,2016-12-08,12,4.2,0,2.1
400,강남,2016-12-08,13,5.1,0,2.1
400,강남,2016-12-08,14,5.5,0,1.3
400,강남,2016-12-08,15,6.1,0,0.8
400,강남,2016-12-08,16,7.1,0,1.6
400,강남,2016-12-08,17,5.7,0,2
400,강남,2016-12-08,18,5.4,0,1.8
400,강남,2016-12-08,19,5.2,0,1.9
400,강남,2016-12-08,20,5.7,0,0.6
400,강남,2016-12-08,21,4.9,0.5,1.6
400,강남,2016-12-08,22,4.4,1.5,1.3
400,강남,2016-12-08,23,4,2,0.9
400,강남,2016-12-09,00,4.5,2,0.9
400,강남,2016-12-09,01,4.9,2,1.5
400,강남,2016-12-09,02,4.2,2,1.2
400,강남,2016-12-09,03,3.9,2,0.3
400,강남,2016-12-09,04,4,2,0.4
400,강남,2016-12-09,05,4.6,2,1.8
400,강남,2016-12-09,06,4.2,2,1.4
400,강남,2016-12-09,07,4,2,2.5
400,강남,2016-12-09,08,3.3,2,2.9
400,강남,2016-12-09,09,3.1,2,2.6
400,강남,2016-12-09,10,3.7,2,1.7
400,강남,2016-12-09,11,4,2,2.5
400,강남,2016-12-09,12,4.7,2,2.9
400,강남,2016-12-09,13,4.5,2,2.9
400,강남,2016-12-09,14,4.5,2,3.1
400,강남,2016-12-09,15,4.4,2,2.5
400,강남,2016-12-09,16,4,2,2.7
400,강남,2016-12-09,17,3.2,2,2.7
