청량리(지하)
봉천
선릉
한양대
쌍문
영등포구청
약수
을지로입구
신설동
신용산
남태령
상왕십리
경복궁
양재
충무로
신답
매봉
안국
강남
사당
삼성
고속터미널
녹번
동묘앞
제기동
뚝섬
지축
홍제
학여울
당산
신대방
삼각지
신당
역삼
신정네거리
상계
방배
옥수
강변
대청
서울역
성수
서울대입구
불광
무악재
시청
동대문역사문화공원
신도림
용두
을지로3가
동대문
도곡
건대입구
당고개
구의
동대입구
명동
아현
이촌
압구정
종각
신촌
창동
혜화
잠원
구파발
성신여대입구
홍대입구
종합운동장
총신대입구
수서
서초
낙성대
양천구청
잠실
대치
금호
미아사거리
남부터미널
길음
노원
신사
용답
동작
잠실나루
신림
숙대입구
신천
경찰병원
종합운동장
신도림
오금
일원
한성대입구
미아
이대
도림천
종로5가
합정
회현
숙대입구
독립문
문래
왕십리(성동구청)
교대
연신내
종로3가
을지로4가
대림
구로디지털단지
가락시장
충정로
수유(강북구청)
